AR,M,1962,Grant,5
NM,M,1920,Floyd,5
MI,F,2003,Natasha,25
WI,F,1983,Sadie,16
VA,F,1999,Josephine,16
MA,F,1937,Hilda,18
MT,M,1995,Lane,24
TN,M,1964,Fred,60
SC,M,1952,Byron,9
CA,F,2010,Jalynn,12
WA,F,1978,Tami,34
IA,F,1928,Katherine,42
OK,M,2002,Xavier,54
SC,F,1943,Edith,89
PA,M,2009,Emilio,10
TN,M,1928,Albert,153
SC,F,1986,Clarissa,15
NY,M,2013,Meyer,20
CT,F,1953,Ramona,10
CA,F,1951,Ernestina,13
NV,M,2014,James,97
CA,M,1992,Jamie,86
PA,F,1980,Eva,21
CA,M,2016,Zion,169
CA,F,2014,Jalayah,7
MD,M,2008,Ayden,82
IL,M,1975,Robb,10
CA,M,1975,Brooks,13
MI,F,1957,Annetta,5
MS,F,1934,Verna,12
FL,M,1960,Tony,231
NE,M,1966,John,386
HI,F,1984,Barbara,5
MI,M,1976,Emmanuel,8
CA,F,1986,Melisa,64
AL,F,2017,Sidney,7
TN,F,1924,Elvie,9
VA,F,1933,Elnora,19
MI,F,1963,Octavia,6
IN,F,1968,Shelly,123
KS,F,2007,Angelique,9
AK,F,1955,Margaret,38
MN,F,1926,Harriet,107
SC,M,1991,Robbie,6
OH,F,2005,Eva,91
MN,F,2005,Thalia,6
DC,M,1994,Rashard,5
OH,F,2007,Leyla,6
AR,M,1936,Edmond,5
IL,M,2015,Abram,37
IL,M,1935,Ronald,1528
OR,F,1979,Tracie,12
AL,F,2009,America,6
MS,M,1922,Wiley,18
TN,M,2011,Derek,17
AK,M,1973,William,66
SC,M,2007,Mateo,7
OR,M,1979,Trenton,9
TN,F,1940,Estelle,9
AR,M,1950,Ralph,63
PA,M,1972,Kurt,102
NY,M,2012,Dwight,6
WV,F,1933,Sophia,9
TX,F,2015,Kynnedi,8
TX,M,1987,Dedrick,12
TX,M,2003,Romeo,58
ME,M,1961,Shawn,42
CA,F,2012,Amaia,8
FL,F,1995,Katrina,71
PA,M,2010,Hassan,19
GA,M,2000,Sydney,8
KY,F,1925,Ilean,7
CT,M,1966,Darrin,26
MT,M,1926,Lloyd,22
RI,M,1918,Earl,19
CA,F,1969,Sheree,32
AL,F,1965,Celia,11
FL,M,1935,Richard,248
VA,M,1995,Carson,18
WI,F,1923,Jenny,7
NY,F,2000,Tyra,39
MA,F,1977,Casey,17
FL,F,1967,Crystal,61
VA,M,1999,Quincy,10
NC,F,2007,Fatima,37
IL,M,1915,Archie,23
VA,F,1933,James,8
TX,F,1985,Kirby,36
WA,F,1938,Jane,36
GA,M,1915,Archie,36
ME,M,1989,Danny,7
SC,F,1934,Carmen,5
IA,M,1937,Terrence,8
TX,M,1975,Dax,13
FL,F,2002,Essence,15
TX,F,2013,Rachel,161
MA,F,1949,Maryellen,26
AR,F,1934,Carole,14
MD,M,2006,Everett,11
IN,F,2009,Felicity,13
MD,M,1983,Dewayne,5
MA,F,1998,Alicia,74
PA,M,1921,Fay,5
MO,M,1944,Donnie,54
PA,M,1962,Luis,27
FL,M,2009,Jashaun,5
NY,F,1950,Marjorie,254
AL,M,2009,Daylen,7
AZ,F,2006,Madeleine,10
DE,M,1963,Darrell,6
MN,M,1995,Donovan,16
MA,M,2004,Cyrus,6
IA,F,1924,Lena,25
VA,F,1997,Celine,9
FL,F,1979,Jeannette,16
TX,M,1910,Claud,16
FL,F,2012,Layan,6
NY,F,1961,Grace,246
IL,F,1976,Vicki,40
GA,F,1911,Claudia,18
NY,F,1993,Bree,6
ND,M,1960,Jeffrey,176
MD,F,1994,Abigail,118
AL,M,1998,Alan,19
KY,M,1980,Virgil,7
VA,F,2002,Hayleigh,8
TX,M,1985,Joshue,5
SD,M,1947,Phillip,8
KY,M,1953,Adrian,9
GA,F,1989,Janice,15
TX,M,1914,Hiram,5
CA,M,1985,Cameron,313
NJ,M,2003,Jayvon,5
HI,F,1949,Caroline,9
MD,M,1999,Donnell,10
NV,F,2010,Lilah,11
CA,F,1952,Jolene,20
NY,M,2012,Herbert,6
TX,M,1924,Jacobo,7
OH,F,1923,Bernadette,13
TX,F,1926,Willie,437
NM,F,1974,Colleen,10
MN,F,1981,Wendy,57
GA,M,1972,Tracy,130
IL,F,2007,Claire,245
CT,M,1982,Jesse,92
MA,M,1955,Tom,10
TX,F,2001,Audrianna,8
AZ,F,1996,Yanet,5
PA,F,1954,Hollie,5
NY,F,1993,Jayme,12
NJ,M,1987,Kevin,828
GA,F,1932,Easter,8
PA,F,2001,Bria,9
NH,M,1953,Lloyd,6
DC,F,1977,Kerry,8
DC,M,1962,Theodore,33
FL,F,1980,Kelsey,6
MS,F,1991,Tammy,10
OR,F,1948,Marie,39
OR,F,1993,Adriana,21
AR,M,2009,Nigel,5
OR,F,1985,Cheryl,11
OK,F,1967,Kristen,28
CO,F,2017,Aliza,7
SC,M,1997,Luke,47
KS,F,1944,Cleo,5
CA,F,1953,Isabelle,8
AR,F,1918,Kay,6
MI,F,1978,Tonya,168
GA,F,1978,Evelyn,21
TX,F,2013,Monserrat,58
GA,M,1980,Brennan,7
MS,F,1982,Teresa,48
MO,M,1988,Clay,10
DC,M,1986,Deandre,9
TX,F,1997,Keleigh,5
WA,F,2007,Lauren,154
GA,F,1938,Shelia,6
GA,F,2017,Amariah,11
TX,M,1942,Ernie,9
ND,M,1995,Grant,31
FL,F,1956,Mae,29
FL,M,1979,Varian,6
NC,F,2015,Willow,93
MT,F,1955,Jamie,7
NE,M,1980,Greg,6
ID,M,1978,Larry,18
WA,M,1977,Darrel,6
NC,F,1997,Erykah,22
TX,F,2011,Laina,9
AZ,M,1996,Marcos,85
CA,M,1978,Edwin,111
FL,F,1977,Tosha,12
AZ,M,2001,Cameron,179
FL,M,2004,Xzavion,7
IN,M,1933,Basil,8
MD,F,2017,April,8
CA,M,1961,Lyndon,15
IL,F,1971,Carlene,8
IL,M,1980,Darwin,10
IL,F,1989,Brooke,167
VA,M,1978,Elliott,6
GA,F,1943,Jeraldine,5
IN,F,1950,Cathryn,8
WA,F,1943,Rosemary,30
GA,F,2004,Cydney,10
ID,F,1918,Rhoda,8
NY,F,2017,Azalea,24
SD,M,1976,Bret,5
SC,M,1980,Stewart,7
GA,F,2007,Karleigh,11
AR,M,1934,Dwain,5
WV,F,2006,Kenzie,7
IA,F,1999,Bianca,7
TX,M,1999,Blane,10
TN,M,1983,Austin,34
MO,M,1974,Clifford,28
MD,F,2016,Isabella,215
OH,F,2013,Zora,5
UT,M,2011,Connor,83
IA,F,2009,Kassidy,5
LA,F,1975,Mitzi,20
DC,F,1985,Desiree,5
AL,M,2007,Triston,9
MS,M,1953,Clarence,106
MD,F,2008,Natalya,5
IL,F,1916,Mayme,14
TX,F,1919,Luisa,27
AZ,F,1986,Nikita,6
AZ,M,1973,Aron,5
RI,M,1970,Jay,20
KY,M,1933,Hassel,5
MI,M,1983,Loren,21
NC,F,1921,Lala,6
FL,M,1982,Federico,5
MN,M,1971,James,681
OH,M,1951,Carlton,16
AL,M,2001,Tobias,5
OR,M,1931,Carl,33
TN,F,1970,Geraldine,11
MA,F,1923,Helene,24
MN,M,1913,Dale,13
MI,M,2009,Myles,49
TN,M,1964,Fredrick,29
KY,M,2007,Jimmy,17
CA,F,1982,Reyna,77
NY,M,2004,Lucca,8
WA,F,1979,Aubrey,17
NC,M,2005,Kellen,7
KS,F,1968,Terry,7
CA,F,1964,Denita,8
DC,M,1969,Ramon,6
NH,F,2001,Hayley,11
VA,M,2011,Kaiden,76
NY,M,2004,Yu,8
PA,F,1985,Rita,12
IL,M,1956,Chester,66
NY,F,2001,Alecia,5
ID,F,1940,Alice,29
TX,F,1989,Shayna,27
MI,F,1983,Ashley,928
TN,M,1940,Samuel,103
NY,F,1999,Eleana,6
CT,M,1967,Guy,20
OK,M,1998,Blake,121
AL,F,1980,Yvette,5
CT,M,1943,Bryan,8
CA,M,1977,Khalid,11
NY,M,2015,Quintin,11
LA,F,1982,Nicki,6
OH,F,2007,Meagan,9
WA,M,1914,Melvin,37
AL,M,1916,Murray,13
MI,M,2010,Yousef,11
MS,F,1981,Kyla,10
CA,F,2003,Kalin,6
IL,M,1965,Austin,8
TX,F,2004,Reyna,66
OR,F,2013,Karen,10
WV,F,1969,Cara,5
WI,M,2003,Roberto,20
OH,F,1951,Dian,7
OH,F,2006,Delanie,11
CO,F,2002,Lindsay,21
GA,M,1913,Stewart,5
PA,F,1947,Jeanette,117
PA,M,1956,Elliott,24
TX,M,1984,Jimmie,26
TN,M,1955,Darryl,31
NJ,F,1966,Olga,16
IA,F,1948,Margaret,251
IL,M,1944,Walter,360
AL,M,2009,Daylen,7
NC,M,1991,Octavious,5
LA,M,1930,Buford,6
NY,F,1948,Eugenie,9
VA,M,2012,Anakin,5
NE,M,1982,Geoffrey,11
NY,F,1924,Roseann,6
TX,F,2003,Alyah,5
ME,M,1913,Henry,30
WA,M,1990,Micah,33
AR,M,2013,Richard,21
WY,F,1986,Ashlee,6
DC,F,1926,Leona,6
AZ,F,1985,Cherise,9
FL,M,2001,Edmund,8
KY,F,1964,Emily,9
CT,M,1923,Dominick,20
AR,F,1935,Etta,20
NC,F,2002,Leeanna,7
UT,F,1982,Brittani,5
MD,M,2003,Ayden,20
NC,M,2009,Robert,249
TN,F,1955,Eula,11
GA,F,1960,Pamelia,8
TX,F,1982,Princess,12
